ASN.SITE.NO,DAY,MONTH,YEAR,DOC,A350,SR,BA,FI,HIX,HIXOHNO,C1,C2,C3,C4,C5,C6,C7,SUVA254,CHL,DISC,DO,FieldNotes,NH4,NO3,pH,SAL,S.COND,SRP,TDN,TDP,TEMP,TP,TSS,DIC,A254,DO.PER,PP,PN,PC,C1.Per,C2.Per,C3.Per,C4.Per,C5.Per,C6.Per,C7.Per
2,15,5,2007,9.334278972,6.01,0.839317088,0.558626286,1.358894985,18.44274793,0.948566941,,,,,,,,2.819714311,3.0234053,0.2049,,,,,7.79,,477,,,5.541954,,15.0029223,2.666666667,,,,,,,,,,,,,
3,15,5,2007,6.053988751,8.2,0.841097302,0.507592408,1.339973277,31.06797281,0.968816239,,,,,,,,5.744972683,1.3307987,0.02049,,,,,7.39,,269,,,18.48124,,2.170584907,1,,,,,,,,,,,,,
4,15,5,2007,10.41151714,7.69,0.889773335,0.562243608,1.412498104,18.21880663,0.947967633,,,,,,,,3.274258646,4.2324535,0.0261,,,,,7.85,,397,,,16.6965109,,12.30137759,0,,,,,,,,,,,,,
5,15,5,2007,14.61372566,12.47,0.842318147,0.515155743,1.368173051,24.30628844,0.96048413,,,,,,,,3.639044638,3.9859089,0.0374,,,,,7.8,,398,,,9.5575945,,10.05009033,1.333333333,,,,,,,,,,,,,
6,15,5,2007,9.368907886,5.52,0.90725788,0.593503133,1.360250098,15.35440494,0.938854394,,,,,,,,2.670535382,8.1233536,1.264,,,,,8.02,,465,,,15.8041463,,19.50549683,3,,,,,,,,,,,,,
7,15,5,2007,13.65887927,11.48,0.862846817,0.519471682,1.38951088,24.9057515,0.961398533,,,,,,,,3.595463362,0.9210273,0.0191,,,,,7.56,,497,,,10.449959,,7.348545611,1,,,,,,,,,,,,,
8,,5,2007,12.97534941,10.43,0.823860056,0.526405407,,24.04567601,0.960072948,,,,,,,,3.478904388,3.4781544,0.4069,,,,,7.84,,387,,,38.3363513,,29.63628951,2.333333333,,,,,,,,,,,,,
9,,5,2007,9.029558134,6.08,0.848094257,0.587610346,1.380429854,18.3769594,0.948392316,,,,,,,,3.011221545,4.0555641,1.3883,,,,,7.99,,437,,,5.9881363,,19.2803681,3,,,,,,,,,,,,,
10,15,5,2007,11.90450637,8.09,0.866081449,0.559634756,1.347694004,18.77356367,0.949427427,,,,,,,,3.172748103,2.1486771,0.0917,,,,,8.08,,411,,,5.7650451,,17.25420957,8.666666667,,,,,,,,,,,,,
11,15,5,2007,5.41998708,2.28,0.946184406,0.642434897,1.370548445,12.27033436,0.924643948,,,,,,,,2.315503675,4.0125632,0.738,,,,,8.11,,294,,,1.3032224,,15.45317976,7.666666667,,,,,,,,,,,,,
12,15,5,2007,2.904322332,1.74,0.720111944,0.585239714,1.483931284,89.4189301,0.988940369,,,,,,,,2.634005157,3.4171696,0.3825,,,,,7.97,,416,,,32.0897994,,14.55266485,14.33333333,,,,,,,,,,,,,
13,15,5,2007,5.966361951,4.42,0.829166267,0.545167517,1.440895779,19.87532373,0.952096551,,,,,,,,3.124181898,2.0762117,0.2832,,,,,8.24,,360,,,10.0037768,,3.971614717,1.666666667,,,,,,,,,,,,,
15,,5,2007,21.76265747,18.43,0.811218225,0.5497807,1.463570245,25.65081811,0.9624777,,,,,,,,3.656722535,10.9801407,0.1884,,,,,7.67,,871,,,28.2972501,,65.65688571,1,,,,,,,,,,,,,
17,,5,2007,24.10792891,23.87,0.825186641,0.474310356,1.427935722,29.03000616,0.966699974,,,,,,,,4.066297042,6.7267654,0.3353,,,,,7.56,,374,,,26.0663387,,47.19633016,4.333333333,,,,,,,,,,,,,
18,,5,2007,7.573851111,5.03,0.856533291,0.594527487,1.355126923,18.76398783,0.949402924,,,,,,,,2.899449656,14.3625916,2.5254,,,,,7.76,,432,,,12.9039616,,39.54195346,10.66666667,,,,,,,,,,,,,
19,,5,2007,9.73948489,3.94,0.976777332,0.640266106,1.414143314,11.3616355,0.919104555,,,,,,,,2.207508944,10.5350861,,,,,,7.84,,364,,,5.9881363,,26.03422989,,,,,,,,,,,,,,
23,,5,2007,7.002984277,4.86,0.815501967,0.549040404,,28.15342118,0.965698708,,,,,,,,3.071547664,1.6284847,,,,,,7.89,,296,,,16.4734198,,23.78294263,0.333333333,,,,,,,,,,,,,
24,,5,2007,,2.65,0.965816456,0.58170011,,14.01886056,0.933417053,,,,,,,,,,,,,,,,,,,,,,21.08139791,,,,,,,,,,,,,,
27,,5,2007,6.977675916,4.83,0.822378802,0.566566157,,23.18997683,0.958660564,,,,,,,,3.019630068,4.5841972,2.3901,,,,,7.93,,358,,,25.8432476,,12.52650631,8.666666667,,,,,,,,,,,,,
28,,5,2007,4.971812808,3.3,0.839206597,0.575726878,,28.54323065,0.966151298,,,,,,,,2.858112433,6.1015522,1.3451,,,,,8.04,,373,,,7.7728654,,61.82969736,18.66666667,,,,,,,,,,,,,
29,,5,2007,11.30193605,8.18,0.849188636,0.557465496,,22.07770762,0.95666814,,,,,,,,3.210069481,4.5422424,0.0468,,,,,8.14,,433,,,8.2190477,,13.65214995,3.666666667,,,,,,,,,,,,,
30,,5,2007,9.050376303,5.22,0.786200886,0.570706166,,14.75355766,0.936522275,,,,,,,,2.723643656,10.2463844,1.276,,,,,7.7,,,,,18.48124,,81.866154,7,,,,,,,,,,,,,
31,,5,2007,11.35683887,7.95,0.917166564,0.558005915,,17.21653601,0.945104821,,,,,,,,2.996432405,2.3256775,0.3892,,,,,7.75,,363,,,20.9352425,,60.02866755,0,,,,,,,,,,,,,
32,,5,2007,6.155874774,3.56,0.854177669,0.639076705,,16.99310793,0.944423164,,,,,,,,2.683615344,11.963942,2.8168,,,,,8.2,,673,,,26.2894299,,21.08139791,69,,,,,,,,,,,,,
33,,5,2007,6.223391494,4,0.789543,0.589648522,,24.32777515,0.960517653,,,,,,,,2.895527305,6.858416,,,,,,7.79,,357,,,13.7963261,,45.39530035,5,,,,,,,,,,,,,
34,,5,2007,5.923969635,,,,,,,,,,,,,,,8.3102524,0.4714,,,,,8.06,,642,,,5.9881363,,6.898288159,12.66666667,,,,,,,,,,,,,
35,,5,2007,10.77821625,7.59,0.805887455,0.582005209,,22.08160895,0.956675464,,,,,,,,3.120182341,15.629306,1.7213,,,,,7.8,,599,,,21.6045159,,12.52650631,22,,,,,,,,,,,,,
36,,5,2007,10.7947252,8.16,0.840629477,0.536739954,,21.24529685,0.955046678,,,,,,,,3.278453072,4.0586586,0.1621,,,,,7.86,,490,,,10.8961413,,15.0029223,2,,,,,,,,,,,,,
37,14,5,2007,2.220792469,1.04,0.786640875,0.586186795,,14.1959374,0.934192938,,,,,,,,2.373026779,11.2331047,0.5176,,,,,7.8,,436,,,13.1270527,,14.77779358,10,,,,,,,,,,,,,
38,14,5,2007,5.282832088,2.03,0.883588642,0.619367549,,10.97237476,0.916474382,,,,,,,,1.792599091,1.896987,0.1373,,,,,8.04,,320,,,16.919602,,30.98706187,2.333333333,,,,,,,,,,,,,
39,,5,2007,4.763492394,4.71,0.771344,0.594711497,,25.59158083,0.962394112,,,,,,,,4.435821085,9.4551018,0.3444,,,,,8.01,,555,,,9.5575945,,34.81425021,35,,,,,,,,,,,,,
40,,5,2007,6.240358388,4.34,0.808246134,0.599216311,,21.27685034,0.955110351,,,,,,,,3.057516703,2.7361649,,,,,,7.81,,380,,,14.9117818,,59.12815265,4.666666667,,,,,,,,,,,,,
41,,5,2007,6.539075588,3.5,0.817205249,0.68566468,,12.63214045,0.926643948,,,,,,,,2.483531469,11.509288,0.3085,,,,,8.35,,772,,,16.919602,,21.08139791,16,,,,,,,,,,,,,
42,,5,2007,6.721296478,3.48,0.830742687,0.674696483,,12.04144365,0.923321372,,,,,,,,2.407273664,4.9818131,,,,,,7.57,,918,,,19.3736046,,2.395713634,21,,,,,,,,,,,,,
43,,5,2007,6.250417579,4.62,0.887552842,0.517561804,,24.6667366,0.961039067,,,,,,,,3.066995086,4.0581264,1.2783,,,,,8.22,,316,,,12.4577793,,,10.66666667,,,,,,,,,,,,,
44,15,5,2007,4.419830565,2.79,0.866386603,0.550889277,,20.80598227,0.954141025,,,,,,,,2.776124519,0.9935246,0.2843,,,,,8.17,,324,,,18.2581489,,,3,,,,,,,,,,,,,
45,,5,2007,,3.46,0.81938292,0.692124921,,18.6605358,0.949136686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,9,2007,9.726449236,4.94,0.954554454,0.569651571,1.415920159,14.9568542,0.937331006,,,,,,,,2.174483153,,0.476,,,,,,,440.5,,,,,,0,,,,,,,,,,,,,
3,,9,2007,9.396807824,5.85,0.891503089,0.518057006,1.401291935,19.44282658,0.951083086,,,,,,,,2.495528315,,0.019,,,,,,,412.3,,,,,,0,,,,,,,,,,,,,
4,,9,2007,17.35782825,10.09,0.921198802,0.569308824,1.383739453,16.2559998,0.942049142,,,,,,,,2.748039634,,,,,,,,,531,,,,,,1,,,,,,,,,,,,,
5,,9,2007,20,11.75,0.894997708,0.568009041,1.376125648,17.5103121,0.945976059,,,,,,,,2.9495,,0,,,,,,,625,,,,,,5.5,,,,,,,,,,,,,
6,,9,2007,13.51941729,6.27,1.032042991,0.63167495,1.379319915,10.93615933,0.916220957,,,,,,,,2.265630193,,0.0516,,,,,,,459.2,,,,,,3,,,,,,,,,,,,,
8,,9,2007,10.48664417,5.74,0.941140701,0.575971096,1.313596276,16.34772834,0.942355565,,,,,,,,2.242852873,,0.0188,,,,,,,615,,,,,,1,,,,,,,,,,,,,
9,,9,2007,12.34792797,4.82,1.009917133,0.668331673,1.428849739,9.527592853,0.905011524,,,,,,,,1.846463637,,,,,,,,,467.8,,,,,,2,,,,,,,,,,,,,
10,,9,2007,16.75408676,4.81,1.223096517,0.720456085,,7.184376502,0.877815983,,,,,,,,1.865216556,,0.0001,,,,,,,486.5,,,,,,54.28571429,,,,,,,,,,,,,
11,,9,2007,7.376113182,,,,1.375261511,,,,,,,,,,,,2.9886,,,,,,,212.2,,,,,,0,,,,,,,,,,,,,
12,,9,2007,6.381995471,1.92,0.842888347,0.564905988,1.259119205,16.19348414,0.941838432,,,,,,,,1.214353729,,0.213,,,,,,,452.1,,,,,,0,,,,,,,,,,,,,
13,,9,2007,9.721183629,5.97,0.891673436,0.560340566,1.487452579,15.41250485,0.939070848,,,,,,,,2.407114287,,0.15,,,,,,,439.8,,,,,,3.333333333,,,,,,,,,,,,,
14,,9,2007,11.95228615,4.47,1.13266408,0.755282172,1.46316054,5.199109895,0.838686518,,,,,,,,1.84232537,,,,,,,,,600,,,,,,38,,,,,,,,,,,,,
18,,9,2007,7.718594019,2.83,1.059615033,0.685965391,1.368833433,9.073909114,0.900733669,,,,,,,,1.663515398,,0.355,,,,,,,491.5,,,,,,0,,,,,,,,,,,,,
19,,9,2007,12.1028248,,,,1.587738389,,,,,,,,,,,,,,,,,,,351.2,,,,,,2,,,,,,,,,,,,,
23,,9,2007,11.06066744,4.8,0.864430627,0.547484578,,19.58876653,0.951429825,,,,,,,,2.032427077,,0.00275,,,,,,,489.4,,,,,,0,,,,,,,,,,,,,
27,,9,2007,6.883093696,2.36,0.842324078,0.593129963,,15.31226452,0.938696433,,,,,,,,1.439759567,,0.9245,,,,,,,492,,,,,,13.66666667,,,,,,,,,,,,,
28,,9,2007,7.594744061,3.08,0.875288711,0.564926079,,13.90969128,0.93292953,,,,,,,,1.632708081,,0.8245,,,,,,,440.8,,,,,,61.33333333,,,,,,,,,,,,,
29,,9,2007,12.49990926,6.52,0.893009914,0.601363969,,16.81703328,0.943873933,,,,,,,,2.384817313,,0.00048,,,,,,,951,,,,,,2,,,,,,,,,,,,,
30,,9,2007,7.127691951,2.88,0.991936747,0.607696608,,9.735588528,0.90685187,,,,,,,,1.624649337,,0.0738,,,,,,,453,,,,,,1.5,,,,,,,,,,,,,
31,,9,2007,13.44757422,6.88,1.041917485,0.591772317,,11.56483435,0.920412799,,,,,,,,2.20262774,,0,,,,,,,734,,,,,,3,,,,,,,,,,,,,
32,,9,2007,7.327207957,2.32,0.967910666,0.720770144,,8.195432282,0.891250355,,,,,,,,1.557209795,,0.2229,,,,,,,596,,,,,,3.333333333,,,,,,,,,,,,,
34,,9,2007,7.534081386,1.74,0.997757449,0.75018374,,12.11716229,0.923763999,,,,,,,,1.130861158,,0.0025,,,,,,,669,,,,,,22.66666667,,,,,,,,,,,,,
35,,9,2007,11.34811187,5.25,1.008483885,0.654053548,,13.10275217,0.929091855,,,,,,,,2.045274163,,0.0155,,,,,,,783,,,,,,49.33333333,,,,,,,,,,,,,
37,,9,2007,5.672725448,1.41,1.011718613,0.619386964,,11.0158662,0.916776703,,,,,,,,0.94663492,,0.3849,,,,,,,405.4,,,,,,3,,,,,,,,,,,,,
38,,9,2007,7.503136929,3.01,1.067354535,0.61525124,,9.226699421,0.902216741,,,,,,,,1.578006654,,0.0937,,,,,,,429.5,,,,,,0.5,,,,,,,,,,,,,
39,,9,2007,12.12698888,4.49,1.07772137,0.653621981,,9.8127689,0.907516751,,,,,,,,1.755588317,,0,,,,,,,505,,,,,,11,,,,,,,,,,,,,
40,,9,2007,6.131338161,1.99,0.95816017,0.610415444,,10.53190341,0.913284047,,,,,,,,1.378165708,,,,,,,,,501,,,,,,3.666666667,,,,,,,,,,,,,
42,,9,2007,15.50498384,6.52,1.187865574,0.716086623,,7.60337534,0.88376655,,,,,,,,1.967109434,,,,,,,,,862,,,,,,11.33333333,,,,,,,,,,,,,
43,,9,2007,6.895428199,3.05,0.947555623,0.544286262,,14.52033447,0.935568399,,,,,,,,1.770738473,,0.326,,,,,,,395.6,,,,,,1.5,,,,,,,,,,,,,
44,,9,2007,7.361109809,3.4,0.914247368,0.546874994,,16.38375334,0.942475024,,,,,,,,1.847547497,,0.2243,,,,,,,423.7,,,,,,1.333333333,,,,,,,,,,,,,
45,,9,2007,,2.15,1.070972781,0.645127928,,15.25415091,0.938477254,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
1,11,9,2008,7.802844513,,0.9,0.531361476,1.21,21.2566577,,1.117388549,1.448990605,0.839944739,0.273808631,0.416753997,0.292987113,0.203711503,3.405269967,,,,,271.92,,7.5,0.2,,,561.825278,30.103448,16.3,29.296875,,,,,,,,24.32497746,31.54378469,18.28516755,5.960673908,9.072521454,6.378179657,4.43469528
2,29,9,2008,11.15418834,,0.85,0.555944668,1.29,20.55490727,,1.624784711,1.919867662,0.934417415,0.432835126,0.676250925,0.400412046,0.290381216,3.149001378,,0.282,,,88.44,,,0.3,626,,1319.049006,29.844828,13.9,45.703125,1.988950276,,,,,,,25.87669823,30.57625777,14.88174852,6.893432622,10.77012912,6.377055132,4.624678613
3,29,9,2008,16.38405544,,0.82,0.496166385,1.19,32.15381813,,2.693709706,2.945181545,1.38735155,0.703830281,0.935375241,0.249074957,0.232943589,3.546166837,,0.0967,,,56.15,,,0.2,366.2,,557.380033,18.982759,12.9,24.84375,,,,,,,,29.44760276,32.19668994,15.16651079,7.694264332,10.22551111,2.722884493,2.546536574
4,29,9,2008,14.60412492,,0.85,0.536575617,1.26,25.18583525,,2.327451551,2.81926408,1.638190965,0.564082539,0.901107405,0.582785774,0.303170391,3.462510144,,,,,55.81,,,0.3,562,,596.228064,16.137931,14.3,37.03125,,,,,,,,25.47546108,30.85866699,17.9310586,6.174247864,9.863202785,6.378966852,3.318395822
5,29,9,2008,20.64794765,,0.82,0.503077964,1.19,33.00863789,,3.639841048,4.119964444,0.604679553,0.961160187,1.354376685,0,0.262667082,2.813867753,,0.078,,,78.61,,,0.3,581,,919.06357,26.741379,13.4,33.515625,,,,,,,,33.26276611,37.65038414,5.52587717,8.783583152,12.37700062,0,2.400388809
6,29,9,2008,13.95505597,,0.85,0.529022387,1.27,24.837445,,2.209341933,2.48557495,1.335134158,0.553734739,0.853805334,0.461041386,0.281113533,3.438549341,,3.16,,,53.36,,,0.3,535,,1051.481832,23.12069,14.8,34.453125,2.159090909,,,,,,,27.00990867,30.38694526,16.32244025,6.769583513,10.43804209,5.636377759,3.436702456
7,11,9,2008,17.38797643,,0.82,0.513982595,1.25,29.45695526,,3.23828432,3.527734083,2.01503948,0.888245479,1.182072066,0.523766833,0.335276849,3.769043503,,0.284,,,191.92,,7.4,0.3,581,,661.148695,23.37931,12.3,27.890625,1.25,,,,,,,27.65301813,30.1247466,17.20723624,7.585087012,10.09419095,4.472656596,2.863064468
8,11,9,2008,15.67069855,,0.83,0.520012439,1.28,27.80474793,,2.703790138,3.065699882,1.636930553,0.691172559,1.010756671,0.423283819,0.309559688,3.651552359,,0.16,,,127.69,,7.7,0.3,528,,525.396948,30.87931,12.9,48.75,0.8,,,,,,,27.47421022,31.1517088,16.63345593,7.023259654,10.27067185,4.301143221,3.145550328
9,11,9,2008,11.79112051,,0.88,0.539437851,1.24,23.80442873,,1.821968541,2.271047879,1.285826606,0.46834913,0.687533179,0.402826185,0.284424595,3.398857353,,,,,283.46,,7.5,0.3,639,,627.058578,34.241379,15.5,48.046875,,,,,,,,25.22811641,31.4463499,17.80435971,6.485055091,9.520014585,5.577783397,3.938320902
10,29,9,2008,14.60963953,,0.85,0.559779978,1.32,22.5755534,,1.934410925,2.507312171,1.480871608,0.452551235,0.791071722,0.638985901,0.298279522,3.112227017,,0.196,,,47.85,,,0.3,572,,887.824947,14.844828,15.4,27.65625,5.139664804,,,,,,,23.87135143,30.94116623,18.2745073,5.584650833,9.762119741,7.885324052,3.680880413
11,29,9,2008,7.598003713,,1.04,0.641997267,1.26,10.35383058,,0.422246198,0.609530755,0.493624004,0.111821114,0.167951711,0.350411564,0.205978493,2.162918315,,2.25,,,106.92,,,0.1,246.6,,150.331319,17.431034,17.2,26.484375,0.890868597,,,,,,,17.87994001,25.81047122,20.90242051,4.735045146,7.111885295,14.83811523,8.722122588
12,29,9,2008,4.296226172,,0.82,0.581741236,1.24,21.09065908,,0.536462492,0.579146604,0.301768854,0.153540179,0.219113445,0.140711526,0.077230402,2.540428969,,0.29,,,48.1,,,0.2,470.8,,1061.931115,16.655172,11.8,19.21875,4.525862069,,,,,,,26.71661211,28.84234297,15.0285277,7.646524162,10.91216816,7.007638582,3.846186323
13,29,9,2008,6.168985864,,0.87,0.527243025,1.24,22.04913918,,0.853513892,0.943958478,0.5666516,0.225748649,0.305510923,0.182035343,0.134826456,3.562085557,,0.293,,,87.1,,,0.2,439.8,,328.296803,16.396552,15,16.875,0.97826087,,,,,,,26.57063211,29.38625097,17.64035869,7.027752392,9.510821582,5.666919048,4.197265205
14,16,9,2008,10.09225933,,0.96,0.629153999,1.27,14.28386119,,1.081487197,1.531995715,0.964062715,0.258792563,0.450058081,0.683976567,0.336281615,2.805306548,,,,,0,,7.7,0.3,606,,345.845773,59.844828,17.5,82.03125,3.2,,,,,,,20.37983076,28.86933243,18.16705277,4.876755507,8.481013507,12.88903533,6.336979685
15,16,9,2008,26.00465065,,0.77,0.534886047,1.28,28.38490388,,4.430612493,4.641880185,3.531714865,1.342069964,1.715906346,1.294144126,0.457423751,3.47829634,,0.22,,,0,,7.5,0.5,1050,,1836.816428,96.051724,13.4,110.15625,6,,,,,,,25.4431817,26.65640499,20.28118305,7.706954736,9.85374302,7.431736403,2.626796101
16,16,9,2008,14.75210015,,0.8,0.544647665,1.31,23.43011724,,2.412793196,2.656006909,1.428124312,0.669895398,0.980998944,0.572814327,0.321349243,3.495619082,,1.15,,,17.65,,7.8,0.3,573,,857.241681,48.982759,14.3,68.203125,2.266666667,,,,,,,26.68433877,29.37416611,15.79437185,7.408722711,10.84937913,6.33505249,3.553968933
17,11,9,2008,26.40629631,,0.82,0.491137506,1.25,30.33779262,,4.520681319,4.574848425,3.494490547,1.184494181,1.587978335,1.091446844,0.421320915,3.717996409,,0.12,,,207.69,,7.2,0.3,553,,1169.621516,68.637931,11.1,77.8125,,,,,,,,26.78880898,27.10979429,20.70777238,7.019116395,9.410096684,6.467733281,2.496677983
18,11,9,2008,13.07373618,,0.83,0.544775865,1.28,23.16842493,,1.845797976,2.205395024,1.288393389,0.484604445,0.70781047,0.518750572,0.280159715,3.247990151,,1.48,,,183.08,,7.5,0.3,582,,459.94986,66.827586,13.3,78.75,1.8,,,,,,,25.17828722,30.08350321,17.57480462,6.610425441,9.655149448,7.076208269,3.821621796
19,11,9,2008,12.77401499,,0.91,0.5633305,1.21,19.81808137,,1.511106546,2.042679319,1.36101967,0.372159931,0.563401174,0.561786096,0.30842331,3.24277585,,,,,168.08,,7.6,0.3,530,,507.986898,27,19.4,39.140625,0.8,,,,,,,22.48477713,30.39440823,20.25153291,5.537619517,8.383227427,8.35919559,4.589239192
22,29,9,2008,5.938107755,,0.98,0.577331775,1.15,11.35148748,,0.382860382,0.505051631,0.349481157,0.098141692,0.130604828,0.159556458,0.145957042,2.612593443,,,,,106.53,,,0.1,102.4,,,9.155172,16,74.0625,0.217391304,,,,,,,21.61034586,28.50736443,19.72627368,5.53955441,7.371918411,9.006077413,8.238465795
23,29,9,2008,8.414744104,,0.8,0.5464718,1.25,24.99127408,,1.135668623,1.397197104,0.613638952,0.302357652,0.457858826,0.254009563,0.138654846,2.78010372,,0.08,,,7.34,,,0.2,348.8,,,15.362069,12.1,20.390625,,,,,,,,26.41467263,32.49759955,14.27271276,7.032578208,10.64940138,5.90804335,3.224992116
24,11,9,2008,9.855122045,,1.05,0.599551049,1.24,9.099318382,,0.354372898,0.584864358,0.478309878,0.09363115,0.10544451,0.250755381,0.224215017,1.585153499,,,,,153.62,,,,205,,,25.189655,22.8,32.578125,,,,,,,,16.94272574,27.96262484,22.86820784,4.476546904,5.041348889,11.98872619,10.7198196
27,16,9,2008,12.72000769,,0.78,0.553396011,1.27,24.26213037,,2.126772663,2.225845243,1.056545739,0.617919101,0.887915072,0.47441129,0.247735473,3.42714937,,6,,,25.59,,8.2,0.2,492.1,,890.117434,29.068966,11.8,120.9375,20.2,,,,,,,27.84774651,29.14499286,13.83430322,8.090970319,11.6262703,6.211893529,3.243823269
28,16,9,2008,6.155948978,,0.8,0.561920061,1.29,19.94846908,,0.919716222,0.990153746,0.370271486,0.254566507,0.388538976,0.180648819,0.143364044,3.273722924,,1.2,,,15.67,,8.1,0.2,477.1,,660.753879,22.862069,11.6,62.578125,22,,,,,,,28.32284073,30.49197806,11.40258275,7.839425329,11.96513369,5.563115685,4.414923759
29,29,9,2008,14.25679305,,0.87,0.540601017,1.28,24.96319282,,2.142397156,2.651321191,1.718575993,0.528145333,0.835934199,0.708845378,0.280736186,3.433645428,,0.0165,,,50.98,,,0.3,661,,626.755804,17.689655,14.3,27.65625,1.494252874,,,,,,,24.16431226,29.90451746,19.38399088,5.957004142,9.428585616,7.995138069,3.166451583
31,11,9,2008,15.2070344,,0.92,0.526591033,1.27,20.58438252,,2.120160644,2.794342003,1.574946937,0.463618627,0.78412489,0.502311507,0.396311273,3.507476568,,,,,160,,7.1,0.2,459.7,,794.706764,28.551724,15.4,18.046875,0.93,,,,,,,24.55078562,32.35759124,18.23738439,5.368556183,9.079916713,5.816607417,4.589158441
32,16,9,2008,8.894229796,,0.83,0.603883434,1.34,18.02474654,,1.273756309,1.45301713,0.710801311,0.342883946,0.579237057,0.459954535,0.248405315,3.063884307,,1.73,,,12.02,,8,0.3,558,,1189.846679,33.206897,14,81.796875,52.6,,,,,,,25.13303739,28.67011028,14.0251285,6.76559163,11.42917722,9.075562122,4.901392846
34,16,9,2008,7.700023897,,0.8,0.621248243,1.34,14.68134672,,0.990073099,1.131542112,0.548923256,0.273979306,0.488650077,0.482155215,0.250611145,2.884599509,,0.5126,,,18.44,,7.9,0.4,717,,960.533023,49.5,13.9,109.21875,18.6,,,,,,,23.76593217,27.16178544,13.17647444,6.576659463,11.7296638,11.57375971,6.015724971
35,16,9,2008,14.298181,,0.78,0.552273163,1.29,26.08395007,,2.567644168,2.575035867,1.506457639,0.814261264,1.035337569,0.620250139,0.304158256,3.656983908,,,,,5.11,,7.7,0.3,603,,3202.885755,83.637931,13.5,155.390625,63.14285714,,,,,,,27.24827215,27.3267141,15.98678206,8.641077606,10.98717657,6.582198891,3.227778616
36,16,9,2008,16.09490634,,0.81,0.542844839,1.29,24.3035669,,2.458204134,2.91498381,1.612936864,0.668234196,0.997629443,0.617134782,0.331972585,3.483692404,,0.1813,,,28.52,,7.8,0.4,746,,619.784461,23.637931,15.7,36.328125,0.8,,,,,,,25.6033705,30.36094907,16.79950805,6.959978409,10.39078728,6.4277536,3.457653083
37,11,9,2008,4.055605595,,0.83,0.593079426,1.35,15.0836742,,0.333351302,0.403797385,0.218512734,0.084351143,0.146944894,0.148315746,0.091553304,1.8191909,,0.45,,,215.77,,7.9,0.2,478.4,,1281.43887,18.982759,13.3,23.90625,2.13,,,,,,,23.36312789,28.30038432,15.31459733,5.911800952,10.29872187,10.39479889,6.416568752
38,11,9,2008,6.582394772,,0.84,0.539335611,1.26,21.78363009,,0.895814262,1.085720051,0.562548482,0.215968302,0.350789555,0.204496066,0.149534405,3.217794255,,0.1838,,,95.77,,8,0.2,466.3,,80.799387,25.189655,15.8,97.734375,0.53,,,,,,,25.85418707,31.33507749,16.2357693,6.233083265,10.12417324,5.901981884,4.315727757
39,16,9,2008,13.82785243,,0.76,0.559508885,1.26,26.46787482,,2.431587025,2.521108911,1.328296935,0.750593994,1.031097897,0.581948482,0.264705276,3.433757005,,0.21,,,0,,7.6,0.3,640,,1524.794291,45.362069,13.1,63.28125,5.4,,,,,,,27.2925652,28.29737478,14.90904102,8.424800477,11.57322617,6.53189326,2.971099095
40,16,9,2008,10.72750336,,0.79,0.569390417,1.31,19.68223183,,1.586002701,1.700900435,0.833373276,0.454122511,0.693634419,0.418050896,0.249777691,3.192958705,,,,,3.52,,8.2,,498.5,,1417.663867,19.5,12.7,116.25,19,,,,,,,26.71899583,28.65464956,14.03963377,7.650489798,11.68548776,7.042800199,4.207943083
42,11,9,2008,7.901490781,,0.79,0.647753416,1.32,13.13071301,,1.128453264,1.285901795,0.690018799,0.324879074,0.574786122,0.783859283,0.314868845,3.051473296,,,,,20.98,,8,,734,,3118.910653,71.482759,13.5,93.046875,9.8,,,,,,,22.11453558,25.20008751,13.5224433,6.366723441,11.26420433,15.36145497,6.17055088
43,29,9,2008,5.582586969,,0.89,0.535280402,1.26,18.01845307,,0.77463078,0.983532548,0.559738205,0.190170712,0.298807549,0.187914909,0.175313569,3.479099626,,0.76,,,103.08,,7.6,0.2,428.7,,306.328188,26.482759,15.5,35.390625,2,,,,,,,24.4354676,31.02520366,17.65675356,5.99887118,9.425783717,5.92771266,5.530207614
44,11,9,2008,4.811290234,,0.83,0.557680919,1.27,17.74390876,,0.536753139,0.651604932,0.349096506,0.133673878,0.211633157,0.172682623,0.111094229,2.769290718,,0.159,,,66.83,,,0.2,430.2,,366.307435,19.241379,12.5,55.3125,0.326086957,,,,,,,24.77468775,30.07585339,16.11309987,6.169928687,9.768262143,7.970438813,5.127729347
45,11,9,2008,6.209725159,,0.86,0.566911734,1.29,18.59632587,,0.80558378,1.056126502,0.585746787,0.201077575,0.339186755,0.319023817,0.168947778,3.190635623,,0.861,,,75.77,,8.2,0.3,560,,512.516988,18.206897,15.5,26.015625,2.27,,,,,,,23.1776449,30.38606989,16.85266185,5.785251325,9.758823795,9.178711041,4.860837198
46,25,9,2008,4.8578128,,0.92,0.606374447,1.33,13.77002984,,0.486897693,0.666049674,0.370748508,0.117795541,0.204718382,0.2058334,0.163024159,2.837931221,,0.305,,,663.46,,8,0.2,465.1,,1514.119943,22.603448,14.9,62.109375,5.8,,,,,,,21.98116873,30.06904832,16.73757263,5.317921386,9.24208383,9.292421724,7.359783383
