Sample Name,Month,Date,Year,DOC (mg/L),A350,BA,C1,C2,C3,C4,C5,C6,C7,E280,E280_oldmeth,FI,HIX,HIX.OHNO,SR,SUVA254,Chla,Discharge,DO,FieldNotes,NH4,NO3,pH,Salinity,SpCond,SRP,TDN,TDP,Temp,Time,TP,TSS,DIC,,
42,September,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,,,NA,NA,,NA,NA,,NA,NA,,NA,,,,
43,September,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,,,NA,NA,,NA,NA,,NA,NA,,NA,,,,
44,September,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,,,NA,NA,,NA,NA,,NA,NA,,NA,,,,
45,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
46,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
47,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
48,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
49,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
50,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
51,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
52,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
53,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
54,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55.5,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
56,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
57,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
58,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
59,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
60,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
61,September,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
1,July,,2006,15.84063765,12.65,0.499008869,NA,NA,NA,NA,NA,NA,NA,296.7675975,2.470860129,1.48624456,21.36519092,0.955287661,0.88484324,3.2896403,0.911053047,0.762,,,,,7.47,,387,,0.541103505,31.8670558,,,48.50180988,0.6,,,
2,July,,2006,11.09811381,7.46,0.570115398,NA,NA,NA,NA,NA,NA,NA,259.1938324,2.158024365,1.302909489,19.00042595,0.950001065,0.88445356,2.894185494,2.010113068,0.0936,,,,,7.76,,457,,1.030972043,27.56182985,,,42.47297468,0,,,
3,July,,2006,8.955675248,7.51,0.50788114,NA,NA,NA,NA,NA,NA,NA,312.2144207,2.59946898,1.388752077,20.48643455,0.953459007,0.90431761,3.415711172,5.383214265,0.0446,,,,,7.95,,322,,0.408063447,19.17796878,,,13.72006836,1.6,,,
4,July,,2006,15.73844897,11.64,0.506279805,NA,NA,NA,NA,NA,NA,NA,292.207767,2.432895393,1.376705228,26.35494172,0.963443534,0.910164197,3.2830427,3.788642808,,,,,,7.6,,430,,0.680678432,12.38024359,,,29.71966946,1.8,,,
5,July,,2006,18.46803198,MISSING,MISSING,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,1.26680612,MISSING,MISSING,MISSING,MISSING,1.972843781,0.02,,,,,7.8,,430,,0.76624822,19.63115046,,,29.48779118,0,,,
6,July,,2006,15.93886212,12.77,0.540432308,NA,NA,NA,NA,NA,NA,NA,299.987517,2.497668887,1.394364997,21.94303193,0.956413782,0.879256151,3.345910116,2.890279083,1.67,,,,,8.17,,457.7,,1.027149761,45.91568786,,,41.77733985,2.4,,,
7,July,,2006,18.35306972,16.49,0.505855635,NA,NA,NA,NA,NA,NA,NA,324.2019386,2.699275967,1.429006783,27.64287473,0.965087303,0.834928943,3.580327489,1.757779999,0.37,,,,,7.73,,416.9,,0.744547524,17.36524206,,,40.15419191,2.4,,,
8,July,,2006,17.90026814,16.27,0.49973818,NA,NA,NA,NA,NA,NA,NA,328.7796,2.737389161,1.478361277,28.47357216,0.9660713,0.816549152,3.634023774,2.216050186,0.279,,,,,7.74,,368,,0.766988016,22.57683137,,,61.48699338,0,,,
9,July,,2006,11.4989401,8.29,0.560111943,NA,NA,NA,NA,NA,NA,NA,276.3760131,2.301081645,1.381722124,17.96896827,0.94728232,0.9182495,3.09419822,1.510843163,1.27,,,,,7.71,,463.1,,0.557872224,14.64615198,,,31.11093912,0,,,
10,July,,2006,10.34887697,4.85,0.628083667,NA,NA,NA,NA,NA,NA,NA,222.4831928,1.852374906,1.355131788,14.66548883,0.936165414,0.920452324,2.592551837,3.144604797,0.0342,,,,,8.09,,417,,1.593710529,12.15365275,,,34.12535672,15.6,,,
11,July,,2006,6.095713576,1.97,0.671946557,NA,NA,NA,NA,NA,NA,NA,178.5138699,1.486290307,1.315496207,8.166374451,0.890905613,1.087723791,2.153972597,2.62269516,1.759,,,,,7.96,,241.7,,0.410406136,15.3259245,,,42.70485296,4.6,,,
12,July,,2006,4.026392779,2.52,0.549830754,NA,NA,NA,NA,NA,NA,NA,245.798593,2.046496815,1.363246737,20.84778817,0.954228776,0.840458807,2.764260868,0.299339265,0.314,,,,,8.27,,379.4,,1.09373144,9.661153509,,,18.12575562,0,,,
13,July,,2006,8.538111154,6.73,0.543256302,NA,NA,NA,NA,NA,NA,NA,303.8507175,2.529833544,1.368735083,12.9036191,0.928076281,0.832549061,3.380138708,3.059342193,0.2195,,,,,8.29,,377,,0.666745599,11.24728939,,,26.93713014,5.4,,,
14,July,,2006,12.37106764,5.76,0.669110865,NA,NA,NA,NA,NA,NA,NA,203.1060304,1.691042407,1.406878555,10.49712889,0.913021763,0.970270641,2.35630431,43.86671264,,,,,,8.11,,,,0.767481214,56.56545733,,,173.9479576,9.6,,,
15,July,,2006,20.56598323,13.71,0.572895222,NA,NA,NA,NA,NA,NA,NA,272.673364,2.270253723,MISSING,21.89183524,0.956316303,0.860013601,3.146457881,2.505476761,0.0001,,,,,7.88,,674,,1.113089447,65.40250008,,,129.1954502,3.2,,,
16,July,,2006,5.849051242,3.41,0.564560476,NA,NA,NA,NA,NA,NA,NA,234.7086653,1.954163082,MISSING,17.52931329,0.946031459,0.906030468,2.653421787,3.932505342,0.4228,,,,,8.18,,621,,1.236758751,12.60683443,,,48.50180988,1,,,
17,July,,2006,21.05358181,17.7,0.513150067,NA,NA,NA,NA,NA,NA,NA,311.0841077,2.590058096,MISSING,24.34969167,0.960551788,0.872193749,3.493942298,2.913373032,,,,,,7.88,,466,,1.024560474,76.50545122,,,121.7753453,1.4,,,
18,July,,2006,9.451202259,7.4,0.531813857,NA,NA,NA,NA,NA,NA,NA,291.0159178,2.422972165,1.438055064,18.440083,0.94855989,0.863289979,3.259902725,3.542092209,1.0071,,,,,7.96,,428,,0.645168204,32.09364664,,,55.69003646,1.6,,,
19,July,,2006,14.40647237,10.31,0.541215345,NA,NA,NA,NA,NA,NA,NA,284.375638,2.367685796,NA,12.94667427,0.928298318,0.932953999,3.188844488,6.837570189,,,,,,7.9,,369,,0.71853135,15.09933366,,,41.77733985,3.2,,,
20,July,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
21,July,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
22,July,,2006,5.824385009,4.12,0.60871273,NA,NA,NA,NA,NA,NA,NA,269.1093305,2.240579903,NA,7.496502845,0.882304518,0.957460508,3.049248972,1.075699196,,,,,,8.07,,125.8,,0.271571005,15.55251534,,,20.67641667,0.2,,,
23,July,,2006,8.265020712,5.04,0.552666427,NA,NA,NA,NA,NA,NA,NA,255.9079213,2.130666167,NA,18.64335198,0.949092192,0.848560933,2.87839569,0.988282585,0.0976,,,,,7.83,,382.6,,0.293641599,11.47388023,,,14.87945975,1,,,
24,July,,2006,5.73276757,2.44,0.621831679,NA,NA,NA,NA,NA,NA,NA,205.5289449,1.711215374,NA,8.055658544,0.889571808,1.083706928,2.417680436,2.841863708,,,,,,NA,,,,0.254555687,,,,27.16900842,1.6,,,
25,July,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
26,July,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
27,July,,2006,3.058683586,1.96,0.583411544,NA,NA,NA,NA,NA,NA,NA,237.175981,1.974705729,NA,11.76572708,0.921665253,1.021349972,2.64165932,1.081003304,1.023,,,,,8.56,,467,,1.042932085,7.621835952,,,43.40048779,2.2,,,
28,July,,2006,3.047671874,1.71,0.582171375,NA,NA,NA,NA,NA,NA,NA,226.604201,1.886686047,NA,15.07784613,0.937802614,0.876050694,2.526518706,1.282693748,0.5166,,,,,8.51,,407,,0.764275429,15.55251534,,,50.35683609,4.4,,,
29,July,,2006,17.98175481,11.78,0.538709651,NA,NA,NA,NA,NA,NA,NA,270.448156,2.251726844,NA,20.66876142,0.953850616,0.894262911,3.0853496,17.68578736,0.0043,,,,,7.92,,638,,0.855763588,19.40455962,,,18.82139045,4,,,
30,July,,2006,7.466010937,5.02,0.578455506,NA,NA,NA,NA,NA,NA,NA,257.2338758,2.141705944,NA,14.89627791,0.937092192,0.949810197,2.850250312,5.160351105,0.5085,,,,,8.14,,377,,0.771796693,22.80342221,,,42.47297468,2.6,,,
31,July,,2006,15.4252759,12.06,0.520115019,NA,NA,NA,NA,NA,NA,NA,300.709846,2.503682932,NA,16.03406164,0.941294095,0.931229196,3.339972674,2.08928833,0.2886,,,,,7.82,,382,,0.588327178,13.73978862,,,23.69083426,0,,,
32,July,,2006,5.262347261,2.63,0.652095815,NA,NA,NA,NA,NA,NA,NA,212.4900001,1.769172489,NA,13.42630673,0.930682189,0.9697598,2.403870245,8.964257814,0.5522,,,,,8.32,,574,,1.505674754,10.34092603,,,36.21226121,4.8,,,
33,July,,2006,2.945483193,1.75,0.62979253,NA,NA,NA,NA,NA,NA,NA,248.3299283,2.067572483,NA,9.881983232,0.908104986,0.935673804,2.743183196,1.95500267,1.67,,,,,8.51,,455.5,,0.968212646,6.942063433,,,46.64678366,2.6,,,
34,July,,2006,5.071183952,2.38,0.685901472,NA,NA,NA,NA,NA,NA,NA,203.6842303,1.695856447,NA,12.4352005,0.925568658,1.01650126,2.30123776,3.449871597,0.07,,,,,8.12,,626,,0.819020365,11.70047107,,,24.15459082,6.4,,,
35,July,,2006,6.613704478,3.97,0.614060341,NA,NA,NA,NA,NA,NA,NA,238.0818156,1.982247626,NA,20.29682094,0.953044635,0.976476912,2.689869204,3.797245101,0.0545,,,,,8.38,,,,0.576243836,17.13865122,,,55.92191473,12.4,,,
36,July,,2006,13.17756538,9.59,0.54480217,NA,NA,NA,NA,NA,NA,NA,283.3699946,2.359312901,NA,24.20373623,0.960323343,0.87385428,3.150809638,1.836082649,0.0309,,,,,7.86,,612,,0.582038908,20.31092298,,,34.82099155,0.8,,,
37,July,,2006,5.421356373,4.32,0.6083452,NA,NA,NA,NA,NA,NA,NA,289.5582548,2.410835795,,19.16992058,0.950421223,0.960509918,3.16157043,1.324937324,0.8784,,,,,8.23,,437,,0.87598469,18.04501458,,,72.84902894,3,,,
38,July,,2006,6.652906171,5.22,0.568003538,NA,NA,NA,NA,NA,NA,NA,290.2972792,2.416988845,,13.93389067,0.933038213,0.933385852,3.174552513,2.74611763,0.3595,,,,,8.15,,415,,0.350605924,13.51319778,,,22.06768633,2.8,,,
39,July,,2006,8.765833345,4.8,0.627727879,NA,NA,NA,NA,NA,NA,NA,230.1889074,1.916531987,,17.6161473,0.946283193,0.966620278,2.61811959,4.428684081,0.0143,,,,,8.74,,619,,0.545788883,18.27160542,,,67.51582857,9,,,
40,July,,2006,3.491664076,9.59,0.664505508,NA,NA,NA,NA,NA,NA,NA,1069.440401,8.904063886,,11.69515942,0.921229819,0.87385428,11.89117827,2.586798935,,,,,,8.57,,481,,1.271159285,8.528199311,,,378.4645977,3.8,,,
41,July,,2006,8.809439721,MISSING,MISSING,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,,MISSING,MISSING,MISSING,MISSING,4.73962143,0.001,,,,,7.96,,1806,,0.953786615,29.37455656,,,48.03805332,7.2,,,
42,July,,2006,12.53624331,MISSING,MISSING,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,,MISSING,MISSING,MISSING,MISSING,17.37806763,,,,,,7.78,,771,,0.972774724,167.5949688,,,24.85022565,4.8,,,
43,July,,2006,6.725142997,MISSING,MISSING,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,,MISSING,MISSING,MISSING,MISSING,1.63349576,1.38,,,,,7.92,,371,,0.297340581,21.44387717,,,,4.2,,,
44,July,,2006,4.510908079,9.59,0.589331944,NA,NA,NA,NA,NA,NA,NA,830.4619081,6.914350605,,5.741166034,0.851657711,0.867860151,9.24869212,0.386527777,0.2615,,,,,NA,,354.9,,0.421009885,11.70047107,,,,1.8,,,
45,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
46,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
47,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
48,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
49,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
50,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
51,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
52,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
53,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
54,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55.5,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
56,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
57,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
58,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
59,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
60,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
61,July,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
1,June,,2006,15.49795467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.482371864,,,,,,8.63,,372.5,,0.560596,16.48588649,,,22.55946757,1.8,,,
2,June,,2006,11.77218368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625374069,0.1505,,,,,7.89,,368.8,,0.93874,5.675075676,,,17.2891973,8.2,,,
3,June,,2006,13.37659381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0342,,,,,7.86,,283.5,,0.37506,5.539940541,,,5.945345946,0.6,,,
4,June,,2006,16.70650164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.697849236,,,,,,7.72,,398.5,,0.619668,11.62102162,,,10.53994054,1.8,,,
5,June,,2006,20.73732013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475843191,0.0332,,,,,7.8,,414.8,,0.707548,6.756156757,,,12.55946757,0.6,,,
6,June,,2006,14.68527087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.943265152,1.2741,,,,,8.36,,431,,1.1821,8.783183784,,,14.04595405,5.4,,,
7,June,,2006,18.64529972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802674751,0.1287,,,,,8.04,,422.8,,0.62154,8.648048649,,,13.91081892,0.6,,,
8,June,,2006,16.24497176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.161227113,0.1422,,,,,8.28,,418.5,,0.772652,12.43183243,,,17.55946757,15.2,,,
9,June,,2006,15.43601373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.633469124,,,,,,7.92,,461,,0.613636,8.918318919,,,14.04595405,0.6,,,
10,June,,2006,13.85628683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98311142,0.0865,,,,,8.38,,444,,1.17794,7.431832432,,,11.08048108,8,,,
11,June,,2006,7.041851682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.553674965,1.863,,,,,8.24,,223.2,,0.35426,8.242643243,,,14.72162973,5.4,,,
12,June,,2006,5.985129885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64204052,0.4516,,,,,8.7,,337.3,,1.197284,7.296697297,,,4.9994,3,,,
13,June,,2006,8.884245438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.789402313,0.2406,,,,,8.59,,340.8,,0.573388,7.566967568,,,13.50541351,4,,,
14,June,,2006,14.95352638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6583374,,,,,,8.04,,776,,3.288308,35.81021081,,,102.2891973,20.6,,,
15,June,,2006,28.48552663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.126235123,0.1031,,,,,7.84,,895,,1.592692,20.40480541,,,43.10000811,6,,,
16,June,,2006,13.7598825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71626564,0.7744,,,,,8.15,,607,,1.0755,12.83723784,,,18.91081892,5.2,,,
17,June,,2006,24.23675053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622466888,,,,,,8.06,,403,,0.921684,16.89129189,,,44.31622432,2.2,,,
18,June,,2006,8.371486205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.385524368,0.9367,,,,,8.5,,449.5,,0.875092,9.864264865,,,17.2891973,2,,,
19,June,,2006,13.2652864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.243512267,,,,,,8,,390.7,,0.708484,8.242643243,,,19.18108919,1,,,
20,June,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
21,June,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
22,June,,2006,6.581253243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.455164871,,,,,,7.99,,109.2,,0.276884,4.593994595,,,7.694602703,2.4,,,
23,June,,2006,8.295573621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935459919,0.2257,,,,,8.1,,653.6,,0.250676,5.810210811,,,7.289197297,5,,,
24,June,,2006,6.013073167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,,,,0.318172,,,,6.891291892,1.6,,,
25,June,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
26,June,,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,,NA,,NA,,,NA,,,,
27,June,,2006,6.013073167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494770718,1.1606,,,,,8.42,,448.6,,0.991884,5.26967027,,,19.85676486,1.6,,,
28,June,,2006,3.759913159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.099779282,0.6237,,,,,8.38,,352,,0.805412,5.675075676,,,21.07298108,2.6,,,
29,June,,2006,24.26702242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.793694688,0.2173,,,,,8.24,,425.5,,0.868748,13.10750811,,,15.53244054,3.2,,,
30,June,,2006,10.19059389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.577065201,0.5947,,,,,8.18,,580,,1.157868,11.35075135,,,18.64054865,5.6,,,
31,June,,2006,15.30607746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478609171,,,,,,8.61,,393,,0.528772,7.972372973,,,5.539940541,1.8,,,
32,June,,2006,8.826961709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58119709,1.4352,,,,,8.17,,626,,2.385588,6.756156757,,,15.66757568,23.2,,,
33,June,,2006,5.898505709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.581387291,2.4129,,,,,8.41,,460,,0.900468,5.134535135,,,14.85676486,2.8,,,
34,June,,2006,4.879973064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.462037544,0.403,,,,,8.17,,692,,5.113716,7.026427027,,,13.37027838,12.8,,,
35,June,,2006,11.51184543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.471042939,0.6771,,,,,8.16,,692,,1.935684,12.43183243,,,6.485886486,23,,,
36,June,,2006,14.79518112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896544056,0.1352,,,,,7.74,,578,,0.570372,6.891291892,,,17.6946027,0.8,,,
37,June,,2006,4.074275087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.265161133,0.6137,,,,,8.54,,385.3,,0.899012,7.566967568,,,6.080481081,4,,,
38,June,,2006,8.195909247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.701391067,0.2122,,,,,8.37,,373,,0.33034,9.458859459,,,7.431832432,1.8,,,
39,June,,2006,5.791855514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.280794373,,,,,,8.41,,496,,0.922412,17.56696757,,,10.39730541,1.4,,,
